Fund Name,Category,Inception Date,Class,Type,Offer,Repurchase,NAV,Validity Date,"Front-end Load %","Back-end Load %","Contingent Load %",Trustee Code
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,114.6917,111.5407,111.5407,2016-10-18,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,115.0798,111.9181,111.9181,2016-10-19,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,116.3699,113.1728,113.1728,2016-10-20,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,115.6029,112.4268,112.4268,2016-10-21,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,114.2055,111.0678,111.0678,2016-10-24,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,114.1837,111.0466,111.0466,2016-10-25,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,113.211,110.1007,110.1007,2016-10-26,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,111.548,108.4833,108.4833,2016-10-27,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,111.0131,107.9631,107.9631,2016-10-28,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,111.1104,108.0578,108.0578,2016-10-31,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,114.8218,111.6672,111.6672,2016-11-01,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,116.1186,112.9284,112.9284,2016-11-02,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,116.5384,113.3366,113.3366,2016-11-03,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,116.047,112.8587,112.8587,2016-11-04,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,116.7194,113.5127,113.5127,2016-11-07,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,116.6782,113.4726,113.4726,2016-11-08,-,-,-,CDC
